Month,Oil,Gas,Water
0,12659.00,4110.00,545.00
1,9814.00,4837.00,572.00
2,7317.00,2127.00,538.00
3,9818.00,4134.00,871.00
4,8798.00,4447.00,914.00
5,8360.00,3843.00,996.00
6,7370.00,3749.00,990.00
7,5979.00,4000.00,894.00
8,10320.00,13352.00,1701.00
9,7125.00,9697.00,1283.00
10,6047.00,6242.00,1181.00
11,4891.00,5669.00,1029.00
12,4913.00,3619.00,1109.00
13,4453.00,4234.00,1073.00
14,4432.00,4606.00,1135.00
15,4012.00,3732.00,1089.00
16,3903.00,3737.00,1118.00
17,3761.00,3936.00,1135.00
18,3446.00,3655.00,1092.00
19,3204.00,3350.00,1064.00
20,3249.00,3768.00,1129.00
21,3153.00,3089.00,1144.00
22,2665.00,1554.00,1007.00
23,2821.00,1554.00,1109.00
24,2718.00,1610.00,1110.00
25,2738.00,1672.00,1160.00
26,2761.00,3709.00,1212.00
27,2163.00,2279.00,982.00
28,2290.00,2634.00,1075.00
29,2205.00,2061.00,1068.00
30,2356.00,2145.00,1177.00
31,2305.00,1803.00,1187.00
32,2093.00,1657.00,1110.00
33,2347.00,2463.00,1280.00
34,1971.00,2997.00,1105.00
35,1662.00,1683.00,957.00
36,1902.00,2236.00,1124.00
37,1770.00,2215.00,1073.00
38,1825.00,2111.00,1134.00
39,1986.00,3123.00,1264.00
40,1665.00,2637.00,1085.00
41,2041.00,2749.00,1362.00
42,1772.00,6502.00,1209.00
43,1606.00,6754.00,1120.00
44,1389.00,3483.00,990.00
45,1539.00,1990.00,1120.00
46,1451.00,1139.00,1078.00
47,1010.00,622.00,766.00
48,1647.00,1733.00,1274.00
49,1469.00,1859.00,1159.00
50,1476.00,1956.00,1187.00
51,1377.00,1861.00,1128.00
52,1411.00,1941.00,1178.00
53,1348.00,1740.00,1146.00
54,1381.00,2312.00,1195.00
55,1293.00,2192.00,1138.00
56,1319.00,2021.00,1181.00
57,1359.00,2081.00,1238.00
58,1238.00,1907.00,1146.00
59,1225.00,1787.00,1153.00
60,1236.00,1662.00,1182.00
61,1180.00,2083.00,1146.00
62,1175.00,2244.00,1159.00
63,987.00,1496.00,989.00
64,819.00,1082.00,833.00
65,1300.00,1158.00,1342.00
66,1194.00,1583.00,1251.00
67,1062.00,1460.00,1129.00
68,1151.00,1115.00,1241.00
69,1083.00,1285.00,1184.00
70,1140.00,1376.00,1264.00
71,682.00,678.00,766.00
72,278.00,165.00,317.00
73,1103.00,1198.00,1273.00
74,183.00,248.00,214.00
75,-,-,-
76,534.00,434.00,633.00
77,1738.00,766.00,2085.00
78,1352.00,736.00,1643.00
79,983.00,629.00,1209.00
80,1016.00,872.00,1265.00
81,760.00,890.00,958.00
82,1289.00,1020.00,1645.00
83,789.00,639.00,1019.00
84,1130.00,1255.00,1476.00
85,1086.00,841.00,1435.00
86,725.00,924.00,969.00
87,902.00,49.00,-
88,972.00,152.00,-
89,1055.00,1006.00,-
90,203.00,243.00,-
