Month,Oil,Gas,Water
0,17349.00,19987.00,27674.00
1,32652.00,44229.00,49474.00
2,28608.00,51653.00,28546.00
3,30192.00,25555.00,31288.00
4,21469.00,41393.00,20775.00
5,14179.00,38188.00,15779.00
6,10891.00,20613.00,14817.00
7,8949.00,15629.00,11743.00
8,7156.00,10046.00,10816.00
9,7926.00,9739.00,10334.00
10,5757.00,9857.00,5379.00
11,5890.00,9317.00,5798.00
12,4790.00,8717.00,6037.00
13,5658.00,10988.00,7693.00
14,5142.00,16369.00,7087.00
15,4725.00,12534.00,4266.00
16,4054.00,13693.00,6165.00
17,2170.00,8261.00,3212.00
18,-,-,-
19,399.00,606.00,579.00
20,2074.00,2275.00,4317.00
21,3306.00,4650.00,4729.00
22,3536.00,6153.00,4304.00
23,3555.00,7159.00,4450.00
24,3516.00,8209.00,4340.00
25,3314.00,8723.00,4506.00
26,3330.00,9876.00,4505.00
27,2762.00,10982.00,4283.00
28,786.00,3118.00,1304.00
29,2749.00,6955.00,4131.00
30,3196.00,9627.00,4250.00
31,2021.00,8023.00,3103.00
32,94.00,388.00,136.00
33,1421.00,6024.00,2800.00
34,1758.00,5045.00,2686.00
35,1651.00,4568.00,2608.00
36,1653.00,3926.00,2146.00
37,2448.00,6221.00,3101.00
38,2710.00,8841.00,4614.00
39,1281.00,4626.00,2606.00
