Month,Oil,Gas,Water
05/2012,424.00,-,4852.00
06/2012,1236.00,-,13263.00
07/2012,1370.00,-,13084.00
08/2012,1252.00,-,11649.00
09/2012,1128.00,-,7223.00
10/2012,1099.00,-,1561.00
11/2012,1011.00,-,421.00
12/2012,1000.00,-,209.00
01/2013,962.00,-,39.00
02/2013,839.00,-,8188.00
03/2013,900.00,-,8715.00
04/2013,846.00,-,8128.00
05/2013,832.00,-,7865.00
06/2013,768.00,914.00,-
07/2013,759.00,1011.00,-
08/2013,727.00,379.00,-
09/2013,675.00,220.00,-
10/2013,670.00,160.00,-
11/2013,624.00,119.00,1344.00
12/2013,621.00,99.00,-
01/2014,599.00,83.00,-
02/2014,522.00,64.00,-
03/2014,559.00,62.00,-
04/2014,523.00,53.00,-
05/2014,523.00,49.00,-
06/2014,491.00,43.00,-
07/2014,492.00,41.00,-
08/2014,478.00,38.00,-
09/2014,449.00,34.00,-
10/2014,451.00,33.00,-
11/2014,425.00,30.00,-
12/2014,428.00,29.00,-
01/2015,417.00,27.00,-
02/2015,367.00,23.00,-
03/2015,396.00,24.00,-
04/2015,374.00,22.00,-
05/2015,377.00,22.00,-
06/2015,356.00,20.00,-
07/2015,360.00,20.00,-
08/2015,352.00,19.00,-
09/2015,333.00,18.00,-
10/2015,337.00,18.00,-
11/2015,-,-,47.00
12/2015,-,-,-
01/2016,-,-,-
02/2016,-,-,-
03/2016,-,-,-
04/2016,-,-,-
05/2016,-,-,-
06/2016,-,-,-
07/2016,309.00,16.00,-
08/2016,303.00,15.00,-
09/2016,287.00,14.00,-
10/2016,291.00,14.00,-
11/2016,276.00,39.00,-
12/2016,280.00,14.00,-
01/2017,275.00,14.00,-
02/2017,244.00,51.00,-
03/2017,393.00,14.00,-
04/2017,257.00,13.00,-
05/2017,261.00,13.00,-
06/2017,248.00,12.00,-
07/2017,252.00,12.00,-
08/2017,361.00,50.00,-
09/2017,240.00,11.00,-
10/2017,244.00,11.00,-
11/2017,232.00,10.00,-
12/2017,236.00,10.00,-
01/2018,232.00,10.00,-
02/2018,206.00,9.00,-
03/2018,225.00,10.00,-
04/2018,214.00,9.00,-
05/2018,205.00,9.00,-
06/2018,226.00,11.00,-
07/2018,234.00,9.00,-
08/2018,223.00,9.00,-
09/2018,213.00,9.00,-
10/2018,216.00,9.00,-
11/2018,215.00,10.00,-
12/2018,206.00,10.00,-
01/2019,202.00,9.00,-
02/2019,180.00,8.00,-
03/2019,190.00,9.00,-
04/2019,188.00,9.00,-
05/2019,192.00,9.00,-
06/2019,183.00,9.00,-
07/2019,187.00,6.00,-
08/2019,188.00,10.00,-
09/2019,183.00,10.00,-
10/2019,182.00,9.00,-
11/2019,179.00,9.00,-
12/2019,169.00,9.00,-
01/2020,177.00,9.00,-
02/2020,165.00,9.00,-
03/2020,172.00,11.00,-
04/2020,125.00,8.00,-
05/2020,93.00,6.00,-
06/2020,116.00,12.00,-
07/2020,127.00,15.00,-
08/2020,131.00,17.00,-
09/2020,133.00,15.00,-
10/2020,154.00,14.00,-
11/2020,144.00,14.00,-
12/2020,139.00,15.00,-
01/2021,141.00,16.00,-
02/2021,103.00,14.00,-
03/2021,139.00,17.00,-
04/2021,128.00,15.00,-
05/2021,130.00,14.00,-
06/2021,117.00,14.00,-
07/2021,122.00,16.00,-
08/2021,122.00,13.00,-
