Month,Oil,Gas,Water
1.00,3160.00,5265.00,9811.00
2.00,4224.00,14919.00,13115.00
3.00,563.00,4889.00,1748.00
4.00,1.00,-,3.00
5.00,1259.00,2655.00,3909.00
6.00,1730.00,14840.00,5371.00
7.00,563.00,16553.00,1748.00
8.00,355.00,16173.00,1102.00
9.00,288.00,17427.00,894.00
10.00,216.00,15848.00,671.00
11.00,187.00,14334.00,581.00
12.00,170.00,16666.00,528.00
13.00,143.00,14319.00,444.00
14.00,126.00,14052.00,391.00
15.00,112.00,12698.00,348.00
16.00,95.00,12365.00,295.00
17.00,92.00,11884.00,286.00
18.00,72.00,11088.00,224.00
19.00,109.00,10736.00,338.00
20.00,75.00,10154.00,233.00
21.00,88.00,10329.00,273.00
22.00,82.00,9886.00,255.00
23.00,66.00,8874.00,205.00
24.00,73.00,10073.00,227.00
25.00,60.00,9247.00,186.00
26.00,54.00,8838.00,168.00
27.00,43.00,8686.00,134.00
28.00,40.00,8460.00,124.00
29.00,44.00,8151.00,137.00
30.00,44.00,7811.00,137.00
31.00,44.00,7869.00,137.00
32.00,47.00,7407.00,146.00
33.00,53.00,7658.00,165.00
34.00,51.00,7482.00,158.00
35.00,42.00,6463.00,130.00
36.00,43.00,6948.00,134.00
37.00,31.00,6387.00,96.00
38.00,32.00,7150.00,99.00
39.00,27.00,6574.00,84.00
40.00,26.00,6582.00,81.00
41.00,26.00,6445.00,81.00
42.00,15.00,5522.00,47.00
43.00,19.00,5505.00,59.00
44.00,21.00,5518.00,65.00
45.00,29.00,5260.00,90.00
46.00,25.00,5508.00,78.00
47.00,27.00,4917.00,84.00
48.00,29.00,5613.00,90.00
49.00,20.00,4979.00,62.00
50.00,23.00,5253.00,71.00
51.00,24.00,5270.00,75.00
52.00,16.00,5215.00,50.00
53.00,26.00,5250.00,81.00
54.00,20.00,4947.00,62.00
55.00,17.00,4865.00,53.00
56.00,23.00,4762.00,71.00
57.00,13.00,3496.00,40.00
58.00,12.00,3805.00,37.00
59.00,5.00,1550.00,16.00
60.00,8.00,3644.00,25.00
61.00,8.00,3664.00,25.00
62.00,13.00,3603.00,40.00
63.00,6.00,1190.00,19.00
64.00,6.00,2851.00,19.00
65.00,7.00,3472.00,22.00
66.00,6.00,2246.00,19.00
67.00,10.00,2332.00,31.00
68.00,13.00,2851.00,40.00
69.00,16.00,3258.00,50.00
70.00,20.00,3530.00,62.00
71.00,14.00,3142.00,43.00
72.00,13.00,3610.00,40.00
73.00,11.00,3526.00,34.00
74.00,11.00,3561.00,34.00
75.00,10.00,3434.00,31.00
76.00,8.00,3524.00,25.00
77.00,10.00,3508.00,31.00
78.00,8.00,3416.00,25.00
79.00,8.00,3665.00,25.00
80.00,11.00,3540.00,34.00
81.00,1.00,3569.00,3.00
82.00,15.00,3456.00,47.00
83.00,2.00,2998.00,6.00
84.00,7.00,2921.00,22.00
85.00,5.00,2962.00,16.00
86.00,5.00,3111.00,16.00
87.00,7.00,3021.00,22.00
88.00,8.00,3246.00,25.00
89.00,13.00,3160.00,40.00
90.00,2.00,3026.00,6.00
91.00,6.00,3254.00,19.00
92.00,7.00,2568.00,22.00
93.00,-,2835.00,-
94.00,7.00,3263.00,22.00
95.00,9.00,2957.00,28.00
96.00,13.00,3246.00,40.00
97.00,9.00,3148.00,28.00
98.00,3.00,3187.00,9.00
99.00,5.00,3149.00,16.00
100.00,4.00,3115.00,12.00
101.00,5.00,2998.00,16.00
102.00,2.00,3065.00,6.00
103.00,3.00,2886.00,9.00
104.00,10.00,2814.00,31.00
105.00,19.00,3020.00,59.00
106.00,8.00,3079.00,25.00
107.00,9.00,2739.00,28.00
108.00,5.00,2384.00,16.00
109.00,6.00,2052.00,19.00
110.00,-,415.00,-
111.00,5.00,767.00,16.00
112.00,11.00,2784.00,34.00
113.00,-,3495.00,-
114.00,-,810.00,-
115.00,-,819.00,-
116.00,-,744.00,-
117.00,2.00,1038.00,6.00
118.00,7.00,1516.00,22.00
119.00,-,3472.00,-
120.00,-,3843.00,-
121.00,-,1556.00,-
122.00,-,1027.00,-
123.00,1.00,702.00,-
124.00,14.00,5678.00,-
125.00,-,5581.00,-
